Year,Course URI,Course Group URI,Course Group,Course Name
1890,http://history.archives.mbl.edu/concepts/course/4dbb59cf-2658-432f-ad0d-a15bdb05e9e9,http://history.archives.mbl.edu/concepts/coursegroup/c94f8dde-5641-4f60-badc-df257d2cba6e,Coelenterates,Coelenterates 1890
1891,http://history.archives.mbl.edu/concepts/course/60408b30-443c-422d-8fd9-3d4d13ad1acd,http://history.archives.mbl.edu/concepts/coursegroup/8c1f04c6-6e3a-46ba-bd02-cc5900fe9b2c,Botany,Botany 1891
1891,http://history.archives.mbl.edu/concepts/course/3ab07e35-2f5d-4a28-aacb-a4ae140c5557,http://history.archives.mbl.edu/concepts/coursegroup/81b7d0fd-46da-42fb-9cbb-b33873eac743,Zoology,Zoology 1891
1892,http://history.archives.mbl.edu/concepts/course/5743af9d-0b9d-491c-a655-70cc9b1f8b3f,http://history.archives.mbl.edu/concepts/coursegroup/8c1f04c6-6e3a-46ba-bd02-cc5900fe9b2c,Botany,Botany 1892
1892,http://history.archives.mbl.edu/concepts/course/e34d9d42-8503-4812-a2d5-3a5be737ff13,http://history.archives.mbl.edu/concepts/coursegroup/fe479b9e-dcc1-4d89-8dc5-1291e5aa839d,Embryology,Embryology 1892
1892,http://history.archives.mbl.edu/concepts/course/24d9c1d2-08f8-4c80-a4db-172f822ffb5a,http://history.archives.mbl.edu/concepts/coursegroup/5c1e61f2-c018-4daf-a25b-300326ee87d8,Biological Physiology,Biological Physiology 1892
1892,http://history.archives.mbl.edu/concepts/course/8b0804c5-8c31-483a-a451-a6058cacf153,http://history.archives.mbl.edu/concepts/coursegroup/81b7d0fd-46da-42fb-9cbb-b33873eac743,Zoology,Zoology 1892
1893,http://history.archives.mbl.edu/concepts/course/3dade6b2-d749-4548-96c3-9025e422e587,http://history.archives.mbl.edu/concepts/coursegroup/8c1f04c6-6e3a-46ba-bd02-cc5900fe9b2c,Botany,Botany 1893
1893,http://history.archives.mbl.edu/concepts/course/d8998189-d70e-449c-8cd2-0d45999e3a25,http://history.archives.mbl.edu/concepts/coursegroup/fe479b9e-dcc1-4d89-8dc5-1291e5aa839d,Embryology,Embryology 1893
1893,http://history.archives.mbl.edu/concepts/course/7370cece-3dd3-4844-aef8-5e0b7de71d23,http://history.archives.mbl.edu/concepts/coursegroup/81b7d0fd-46da-42fb-9cbb-b33873eac743,Zoology,Zoology 1893
1893,http://history.archives.mbl.edu/concepts/course/b04955b0-5f2a-4cdc-b6b9-6ded52ecbb71,http://history.archives.mbl.edu/concepts/coursegroup/dd094cd0-8d6a-4b17-b491-1fbade57f3dc,Physiology,Physiology 1893
1894,http://history.archives.mbl.edu/concepts/course/b876e3e7-740a-4bd9-9271-593793941dc1,http://history.archives.mbl.edu/concepts/coursegroup/8c1f04c6-6e3a-46ba-bd02-cc5900fe9b2c,Botany,Botany 1894
1894,http://history.archives.mbl.edu/concepts/course/8e13c0e0-0ddf-45a8-a3a0-aca494572340,http://history.archives.mbl.edu/concepts/coursegroup/1c33d9af-22fa-4392-90fb-2a261f2b2f3e,Botanical Museum Development,Botanical Museum Development 1894
1894,http://history.archives.mbl.edu/concepts/course/de4fecc1-abf9-4371-a34f-4aa8a92def79,http://history.archives.mbl.edu/concepts/coursegroup/fe479b9e-dcc1-4d89-8dc5-1291e5aa839d,Embryology,Embryology 1894
1894,http://history.archives.mbl.edu/concepts/course/950495aa-a53e-496f-a008-4fce9b7992a5,http://history.archives.mbl.edu/concepts/coursegroup/dd094cd0-8d6a-4b17-b491-1fbade57f3dc,Physiology,Physiology 1894
1894,http://history.archives.mbl.edu/concepts/course/1b4d9fb7-bbd0-4985-af43-7a1f24f9c337,http://history.archives.mbl.edu/concepts/coursegroup/81b7d0fd-46da-42fb-9cbb-b33873eac743,Zoology,Zoology 1894
1895,http://history.archives.mbl.edu/concepts/course/cb4dc297-a79d-4ffa-bca5-b26ef08be79c,http://history.archives.mbl.edu/concepts/coursegroup/8c1f04c6-6e3a-46ba-bd02-cc5900fe9b2c,Botany,Botany 1895
1895,http://history.archives.mbl.edu/concepts/course/43e0f60e-9a6a-4b78-bc5d-9b5adb8452d9,http://history.archives.mbl.edu/concepts/coursegroup/fe479b9e-dcc1-4d89-8dc5-1291e5aa839d,Embryology,Embryology 1895
1895,http://history.archives.mbl.edu/concepts/course/ed8aca6f-8bb8-4050-84ca-8e742505cd0a,http://history.archives.mbl.edu/concepts/coursegroup/dd094cd0-8d6a-4b17-b491-1fbade57f3dc,Physiology,Physiology 1895
1895,http://history.archives.mbl.edu/concepts/course/df644ba6-28cb-4c6f-9f02-d2fc2012509d,http://history.archives.mbl.edu/concepts/coursegroup/81b7d0fd-46da-42fb-9cbb-b33873eac743,Zoology,Zoology 1895
1896,http://history.archives.mbl.edu/concepts/course/11f82a63-ddf0-4105-ab08-ecac123f628d,http://history.archives.mbl.edu/concepts/coursegroup/8c1f04c6-6e3a-46ba-bd02-cc5900fe9b2c,Botany,Botany 1896
1896,http://history.archives.mbl.edu/concepts/course/eb241a9e-50a4-434b-91bb-0f0372738d47,http://history.archives.mbl.edu/concepts/coursegroup/fe479b9e-dcc1-4d89-8dc5-1291e5aa839d,Embryology,Embryology 1896
1896,http://history.archives.mbl.edu/concepts/course/aa10dd1e-ea0a-490e-87e6-b55c454b1a04,http://history.archives.mbl.edu/concepts/coursegroup/81b7d0fd-46da-42fb-9cbb-b33873eac743,Zoology,Zoology 1896
1897,http://history.archives.mbl.edu/concepts/course/5aec448d-a634-4bb8-a540-4e7c68ebb877,http://history.archives.mbl.edu/concepts/coursegroup/8c1f04c6-6e3a-46ba-bd02-cc5900fe9b2c,Botany,Botany 1897
1897,http://history.archives.mbl.edu/concepts/course/509e1a4a-14e4-4785-bed3-68beaac9c068,http://history.archives.mbl.edu/concepts/coursegroup/fe479b9e-dcc1-4d89-8dc5-1291e5aa839d,Embryology,Embryology 1897
1897,http://history.archives.mbl.edu/concepts/course/cf9dffc6-1f93-452e-a3e3-4a31008e5a6b,http://history.archives.mbl.edu/concepts/coursegroup/4d6a03b9-44f1-4a07-a38e-cbebf2600ac6,Invertebrate,Invertebrate 1897
1898,http://history.archives.mbl.edu/concepts/course/000ff52c-146b-4077-9f3f-8b9706bfb9a9,http://history.archives.mbl.edu/concepts/coursegroup/8c1f04c6-6e3a-46ba-bd02-cc5900fe9b2c,Botany,Botany 1898
1898,http://history.archives.mbl.edu/concepts/course/130868c4-d2d9-4456-9727-1592f1d04484,http://history.archives.mbl.edu/concepts/coursegroup/fe479b9e-dcc1-4d89-8dc5-1291e5aa839d,Embryology,Embryology 1898
1898,http://history.archives.mbl.edu/concepts/course/e81b355c-b90e-4b8f-8e7f-efe0d83a5697,http://history.archives.mbl.edu/concepts/coursegroup/81b7d0fd-46da-42fb-9cbb-b33873eac743,Zoology,Zoology 1898
1899,http://history.archives.mbl.edu/concepts/course/7db0bcb9-e42b-4871-9ab8-3cb01ca33451,http://history.archives.mbl.edu/concepts/coursegroup/8c1f04c6-6e3a-46ba-bd02-cc5900fe9b2c,Botany,Botany 1899
1899,http://history.archives.mbl.edu/concepts/course/d0885087-8048-4db4-8d2f-f52771c12cf4,http://history.archives.mbl.edu/concepts/coursegroup/fe479b9e-dcc1-4d89-8dc5-1291e5aa839d,Embryology,Embryology 1899
1899,http://history.archives.mbl.edu/concepts/course/1dfb3d16-7a7d-40a6-8cc5-82724d868740,http://history.archives.mbl.edu/concepts/coursegroup/dd094cd0-8d6a-4b17-b491-1fbade57f3dc,Physiology,Physiology 1899
1899,http://history.archives.mbl.edu/concepts/course/0fffddba-8e12-468c-bb2d-570a64aef228,http://history.archives.mbl.edu/concepts/coursegroup/101da587-3f0c-4e78-b628-8451f5fd345e,Invertebrate Morphology,Invertebrate Morphology 1899
1900,http://history.archives.mbl.edu/concepts/course/41b1d5f2-806e-4d05-bd6e-e6051cf47bfe,http://history.archives.mbl.edu/concepts/coursegroup/8c1f04c6-6e3a-46ba-bd02-cc5900fe9b2c,Botany,Botany 1900
1900,http://history.archives.mbl.edu/concepts/course/e96b3a98-b67e-4760-b733-38bf86504e8e,http://history.archives.mbl.edu/concepts/coursegroup/2b049875-b101-4aaf-b33f-bb744c4caa7d,Comparative Psychology,Comparative Psychology 1900
1900,http://history.archives.mbl.edu/concepts/course/23e769e6-7bf4-4d6d-a213-2bf707c1e201,http://history.archives.mbl.edu/concepts/coursegroup/fe479b9e-dcc1-4d89-8dc5-1291e5aa839d,Embryology,Embryology 1900
1900,http://history.archives.mbl.edu/concepts/course/4ca3c5e1-173f-4161-af57-c87498ebf06a,http://history.archives.mbl.edu/concepts/coursegroup/f9d86d2a-4bbc-4c16-b398-c3d871cb3030,Nature Study,Nature Study 1900
1900,http://history.archives.mbl.edu/concepts/course/4ff1c69d-1fbb-4e76-adbb-839db6bf101b,http://history.archives.mbl.edu/concepts/coursegroup/dd094cd0-8d6a-4b17-b491-1fbade57f3dc,Physiology,Physiology 1900
1900,http://history.archives.mbl.edu/concepts/course/bc87abee-3ed9-4ffa-81ec-41e7ee19ccc5,http://history.archives.mbl.edu/concepts/coursegroup/81b7d0fd-46da-42fb-9cbb-b33873eac743,Zoology,Zoology 1900
1901,,,,
1901,http://history.archives.mbl.edu/concepts/course/574ff0f8-a0d6-4d11-912e-f25ff2173499,http://history.archives.mbl.edu/concepts/coursegroup/8c1f04c6-6e3a-46ba-bd02-cc5900fe9b2c,Botany,Botany 1901
1901,http://history.archives.mbl.edu/concepts/course/df4c72e3-5f6d-4cd0-8861-9b623f23ca47,http://history.archives.mbl.edu/concepts/coursegroup/fe479b9e-dcc1-4d89-8dc5-1291e5aa839d,Embryology,Embryology 1901
1901,http://history.archives.mbl.edu/concepts/course/1a979a00-8cee-4626-ae4e-a156fb156c30,http://history.archives.mbl.edu/concepts/coursegroup/dd094cd0-8d6a-4b17-b491-1fbade57f3dc,Physiology,Physiology 1901
1901,http://history.archives.mbl.edu/concepts/course/610fc999-6d34-4496-932a-85ac736df7b2,http://history.archives.mbl.edu/concepts/coursegroup/81b7d0fd-46da-42fb-9cbb-b33873eac743,Zoology,Zoology 1901
1902,http://history.archives.mbl.edu/concepts/course/fd5b21ae-c6c2-4e83-a3ea-6f5857a8be03,http://history.archives.mbl.edu/concepts/coursegroup/8c1f04c6-6e3a-46ba-bd02-cc5900fe9b2c,Botany,Botany 1902
1902,http://history.archives.mbl.edu/concepts/course/4dd373bd-45db-465a-b89b-966e6ea86773,http://history.archives.mbl.edu/concepts/coursegroup/fe479b9e-dcc1-4d89-8dc5-1291e5aa839d,Embryology,Embryology 1902
1902,http://history.archives.mbl.edu/concepts/course/9af3788a-43c6-4463-ad28-9a90f885eda5,http://history.archives.mbl.edu/concepts/coursegroup/dd094cd0-8d6a-4b17-b491-1fbade57f3dc,Physiology,Physiology 1902
1902,http://history.archives.mbl.edu/concepts/course/48cf8cda-7170-4c2d-b645-99bdce510a5c,http://history.archives.mbl.edu/concepts/coursegroup/81b7d0fd-46da-42fb-9cbb-b33873eac743,Zoology,Zoology 1902
1903,http://history.archives.mbl.edu/concepts/course/30bf436c-2d91-4572-b3b3-aa0ae118a800,http://history.archives.mbl.edu/concepts/coursegroup/8c1f04c6-6e3a-46ba-bd02-cc5900fe9b2c,Botany,Botany 1903
1903,http://history.archives.mbl.edu/concepts/course/6af7eef5-70fa-41c9-83fd-d0dbc478640f,http://history.archives.mbl.edu/concepts/coursegroup/44a5364f-b031-4aa6-a0ae-be28d97fa81b,Comparative Physiology,Comparative Physiology 1903
1903,http://history.archives.mbl.edu/concepts/course/fce87237-76fe-4d89-8dec-728ab67ef1c1,http://history.archives.mbl.edu/concepts/coursegroup/fe479b9e-dcc1-4d89-8dc5-1291e5aa839d,Embryology,Embryology 1903
1903,http://history.archives.mbl.edu/concepts/course/6c19b8e2-7961-4036-9a6d-fd379c085844,http://history.archives.mbl.edu/concepts/coursegroup/81b7d0fd-46da-42fb-9cbb-b33873eac743,Zoology,Zoology 1903
1904,http://history.archives.mbl.edu/concepts/course/56f80947-5dee-4e41-bb86-ae9bb1a5411a,http://history.archives.mbl.edu/concepts/coursegroup/8c1f04c6-6e3a-46ba-bd02-cc5900fe9b2c,Botany,Botany 1904
1904,http://history.archives.mbl.edu/concepts/course/f00587fb-f542-48a3-a231-320b7d41d4d3,http://history.archives.mbl.edu/concepts/coursegroup/44a5364f-b031-4aa6-a0ae-be28d97fa81b,Comparative Physiology,Comparative Physiology 1904
1904,http://history.archives.mbl.edu/concepts/course/531de4a1-df0a-4e50-8e13-eaeac447f464,http://history.archives.mbl.edu/concepts/coursegroup/81b7d0fd-46da-42fb-9cbb-b33873eac743,Zoology,Zoology 1904
1905,http://history.archives.mbl.edu/concepts/course/ff6a8359-1376-43a0-8c74-2c63bc29a8a0,http://history.archives.mbl.edu/concepts/coursegroup/8c1f04c6-6e3a-46ba-bd02-cc5900fe9b2c,Botany,Botany 1905
1905,http://history.archives.mbl.edu/concepts/course/ab6eeef3-4cd3-4e24-9330-2d08595faaec,http://history.archives.mbl.edu/concepts/coursegroup/44a5364f-b031-4aa6-a0ae-be28d97fa81b,Comparative Physiology,Comparative Physiology 1905
1905,http://history.archives.mbl.edu/concepts/course/5f999ff4-5ffc-416b-b60c-06f607a4de83,http://history.archives.mbl.edu/concepts/coursegroup/81b7d0fd-46da-42fb-9cbb-b33873eac743,Zoology,Zoology 1905
1906,http://history.archives.mbl.edu/concepts/course/4cc630b0-9ad1-4963-916b-0457c267dea7,http://history.archives.mbl.edu/concepts/coursegroup/8c1f04c6-6e3a-46ba-bd02-cc5900fe9b2c,Botany,Botany 1906
1906,http://history.archives.mbl.edu/concepts/course/db0dc25e-9145-4ef2-99a0-71f11e12a91e,http://history.archives.mbl.edu/concepts/coursegroup/44a5364f-b031-4aa6-a0ae-be28d97fa81b,Comparative Physiology,Comparative Physiology 1906
1906,http://history.archives.mbl.edu/concepts/course/4774461e-b154-4202-95fc-31062badcc55,http://history.archives.mbl.edu/concepts/coursegroup/81b7d0fd-46da-42fb-9cbb-b33873eac743,Zoology,Zoology 1906
1909,http://history.archives.mbl.edu/concepts/course/bb4c1c08-5e7f-42da-b983-28f99d3c34a5,http://history.archives.mbl.edu/concepts/coursegroup/8c1f04c6-6e3a-46ba-bd02-cc5900fe9b2c,Botany,Botany 1909
1909,http://history.archives.mbl.edu/concepts/course/9ad4c530-5693-4e97-aca3-db225dc1e6a6,http://history.archives.mbl.edu/concepts/coursegroup/fe479b9e-dcc1-4d89-8dc5-1291e5aa839d,Embryology,Embryology 1909
1909,http://history.archives.mbl.edu/concepts/course/fc52082f-00d3-42b1-9a69-63e25bdb69b5,http://history.archives.mbl.edu/concepts/coursegroup/56d8c16c-f317-407f-a0b5-faf920a86bad,Philosophical Aspects Of Biology And Allied Sciences,Philosophical Aspects Of Biology And Allied Sciences 1909
1909,http://history.archives.mbl.edu/concepts/course/60dfdde2-0d52-4280-b93b-27761325f4e9,http://history.archives.mbl.edu/concepts/coursegroup/dd094cd0-8d6a-4b17-b491-1fbade57f3dc,Physiology,Physiology 1909
1909,http://history.archives.mbl.edu/concepts/course/e0cf7f25-faa8-4d75-a27c-d121f417e417,http://history.archives.mbl.edu/concepts/coursegroup/81b7d0fd-46da-42fb-9cbb-b33873eac743,Zoology,Zoology 1909
1910,http://history.archives.mbl.edu/concepts/course/2d3e2877-ab32-43bd-92be-0689de5621df,http://history.archives.mbl.edu/concepts/coursegroup/8c1f04c6-6e3a-46ba-bd02-cc5900fe9b2c,Botany,Botany 1910
1910,http://history.archives.mbl.edu/concepts/course/3418ffe1-9c58-41d7-94da-f7b5dbb69393,http://history.archives.mbl.edu/concepts/coursegroup/fe479b9e-dcc1-4d89-8dc5-1291e5aa839d,Embryology,Embryology 1910
1910,http://history.archives.mbl.edu/concepts/course/bb4b8e5e-45a4-4d92-95dd-1d9ece6ac6d4,http://history.archives.mbl.edu/concepts/coursegroup/56d8c16c-f317-407f-a0b5-faf920a86bad,Philosophical Aspects Of Biology And Allied Sciences,Philosophical Aspects Of Biology And Allied Sciences 1910
1910,http://history.archives.mbl.edu/concepts/course/ee7a3912-b5d8-4df3-94a3-8c0951bb465b,http://history.archives.mbl.edu/concepts/coursegroup/dd094cd0-8d6a-4b17-b491-1fbade57f3dc,Physiology,Physiology 1910
1910,http://history.archives.mbl.edu/concepts/course/83d78ad2-1286-421e-9c42-88dfcc7e7977,http://history.archives.mbl.edu/concepts/coursegroup/81b7d0fd-46da-42fb-9cbb-b33873eac743,Zoology,Zoology 1910
1911,http://history.archives.mbl.edu/concepts/course/f51c220a-4d36-4463-a674-433bff683ab4,http://history.archives.mbl.edu/concepts/coursegroup/8c1f04c6-6e3a-46ba-bd02-cc5900fe9b2c,Botany,Botany 1911
1911,http://history.archives.mbl.edu/concepts/course/79d7164a-cc8e-4d1f-aeaf-bc7a88ce5014,http://history.archives.mbl.edu/concepts/coursegroup/fe479b9e-dcc1-4d89-8dc5-1291e5aa839d,Embryology,Embryology 1911
1911,http://history.archives.mbl.edu/concepts/course/fb30c988-c6d2-4204-9a4d-471ff9c6fa7c,http://history.archives.mbl.edu/concepts/coursegroup/56d8c16c-f317-407f-a0b5-faf920a86bad,Philosophical Aspects Of Biology And Allied Sciences,Philosophical Aspects Of Biology And Allied Sciences 1911
1911,http://history.archives.mbl.edu/concepts/course/ea1b3f62-0bbf-4c09-ae13-7e7973e7774a,http://history.archives.mbl.edu/concepts/coursegroup/dd094cd0-8d6a-4b17-b491-1fbade57f3dc,Physiology,Physiology 1911
1911,http://history.archives.mbl.edu/concepts/course/6cbd6192-d1d2-4ba3-b755-0d3e71d38f82,http://history.archives.mbl.edu/concepts/coursegroup/81b7d0fd-46da-42fb-9cbb-b33873eac743,Zoology,Zoology 1911
1912,http://history.archives.mbl.edu/concepts/course/61448a6c-9da8-4cfa-98d9-c634b98e451c,http://history.archives.mbl.edu/concepts/coursegroup/8c1f04c6-6e3a-46ba-bd02-cc5900fe9b2c,Botany,Botany 1912
1912,http://history.archives.mbl.edu/concepts/course/5abeed1f-3af2-417f-b5b8-2a985f4121dd,http://history.archives.mbl.edu/concepts/coursegroup/fe479b9e-dcc1-4d89-8dc5-1291e5aa839d,Embryology,Embryology 1912
1912,http://history.archives.mbl.edu/concepts/course/4f3630a4-51c6-41c4-816a-d90e0ae60189,http://history.archives.mbl.edu/concepts/coursegroup/56d8c16c-f317-407f-a0b5-faf920a86bad,Philosophical Aspects Of Biology And Allied Sciences,Philosophical Aspects Of Biology And Allied Sciences 1912
1912,http://history.archives.mbl.edu/concepts/course/f3a01b86-801e-473c-ba26-3e0407717138,http://history.archives.mbl.edu/concepts/coursegroup/dd094cd0-8d6a-4b17-b491-1fbade57f3dc,Physiology,Physiology 1912
1912,http://history.archives.mbl.edu/concepts/course/544fa179-72f8-46b8-81ba-8833c6f87fe0,http://history.archives.mbl.edu/concepts/coursegroup/81b7d0fd-46da-42fb-9cbb-b33873eac743,Zoology,Zoology 1912
1913,http://history.archives.mbl.edu/concepts/course/d9c72e43-6344-41f1-a5a6-c4014e14b253,http://history.archives.mbl.edu/concepts/coursegroup/8c1f04c6-6e3a-46ba-bd02-cc5900fe9b2c,Botany,Botany 1913
1913,http://history.archives.mbl.edu/concepts/course/dfbfcd37-23ad-4eb4-8004-648c27d38a50,http://history.archives.mbl.edu/concepts/coursegroup/fe479b9e-dcc1-4d89-8dc5-1291e5aa839d,Embryology,Embryology 1913
1913,http://history.archives.mbl.edu/concepts/course/8b1069a2-7c16-4dc9-852f-a9b0416abdf7,http://history.archives.mbl.edu/concepts/coursegroup/56d8c16c-f317-407f-a0b5-faf920a86bad,Philosophical Aspects Of Biology And Allied Sciences,Philosophical Aspects Of Biology And Allied Sciences 1913
1913,http://history.archives.mbl.edu/concepts/course/d4e7e2c8-3738-4456-a4e2-f3199fbff86d,http://history.archives.mbl.edu/concepts/coursegroup/dd094cd0-8d6a-4b17-b491-1fbade57f3dc,Physiology,Physiology 1913
1913,http://history.archives.mbl.edu/concepts/course/b324c289-1842-4a58-98ae-daf59bc7636e,http://history.archives.mbl.edu/concepts/coursegroup/81b7d0fd-46da-42fb-9cbb-b33873eac743,Zoology,Zoology 1913
1914,http://history.archives.mbl.edu/concepts/course/9a2a0e62-ad87-47a2-910b-cd33adf2a177,http://history.archives.mbl.edu/concepts/coursegroup/8c1f04c6-6e3a-46ba-bd02-cc5900fe9b2c,Botany,Botany 1914
1914,http://history.archives.mbl.edu/concepts/course/8c382346-3058-45b9-938d-45d25c6317f6,http://history.archives.mbl.edu/concepts/coursegroup/fe479b9e-dcc1-4d89-8dc5-1291e5aa839d,Embryology,Embryology 1914
1914,http://history.archives.mbl.edu/concepts/course/05050e3b-8611-495d-afc4-2b44aa0b8699,http://history.archives.mbl.edu/concepts/coursegroup/56d8c16c-f317-407f-a0b5-faf920a86bad,Philosophical Aspects Of Biology And Allied Sciences,Philosophical Aspects Of Biology And Allied Sciences 1914
1914,http://history.archives.mbl.edu/concepts/course/d4dd820e-3ebb-484b-8d4a-207d45cdd5d1,http://history.archives.mbl.edu/concepts/coursegroup/dd094cd0-8d6a-4b17-b491-1fbade57f3dc,Physiology,Physiology 1914
1914,http://history.archives.mbl.edu/concepts/course/fc31612a-7f45-4698-8289-656a101f6ba1,http://history.archives.mbl.edu/concepts/coursegroup/81b7d0fd-46da-42fb-9cbb-b33873eac743,Zoology,Zoology 1914
1915,http://history.archives.mbl.edu/concepts/course/2edc5914-2261-444e-9063-17a94894db77,http://history.archives.mbl.edu/concepts/coursegroup/8c1f04c6-6e3a-46ba-bd02-cc5900fe9b2c,Botany,Botany 1915
1915,http://history.archives.mbl.edu/concepts/course/9c388d91-0f4d-4e99-b2e4-16ac04e34b64,http://history.archives.mbl.edu/concepts/coursegroup/fe479b9e-dcc1-4d89-8dc5-1291e5aa839d,Embryology,Embryology 1915
1915,http://history.archives.mbl.edu/concepts/course/7ac5acc8-ee72-40de-b27e-9a2ce5e92db2,http://history.archives.mbl.edu/concepts/coursegroup/56d8c16c-f317-407f-a0b5-faf920a86bad,Philosophical Aspects Of Biology And Allied Sciences,Philosophical Aspects Of Biology And Allied Sciences 1915
1915,http://history.archives.mbl.edu/concepts/course/4c51c38d-46bd-444f-a9a3-2dc251f64a32,http://history.archives.mbl.edu/concepts/coursegroup/dd094cd0-8d6a-4b17-b491-1fbade57f3dc,Physiology,Physiology 1915
1915,http://history.archives.mbl.edu/concepts/course/6f361e49-d9f0-40eb-80e3-c07a821fd7a8,http://history.archives.mbl.edu/concepts/coursegroup/81b7d0fd-46da-42fb-9cbb-b33873eac743,Zoology,Zoology 1915
1916,http://history.archives.mbl.edu/concepts/course/320916e8-1239-405d-8dee-8da9948aeb03,http://history.archives.mbl.edu/concepts/coursegroup/8c1f04c6-6e3a-46ba-bd02-cc5900fe9b2c,Botany,Botany 1916
1916,http://history.archives.mbl.edu/concepts/course/fe29ff14-bb6e-4e78-ab8c-aadf174098b6,http://history.archives.mbl.edu/concepts/coursegroup/fe479b9e-dcc1-4d89-8dc5-1291e5aa839d,Embryology,Embryology 1916
1916,http://history.archives.mbl.edu/concepts/course/408415d6-ad6f-4da2-a4c8-c141a796fe36,http://history.archives.mbl.edu/concepts/coursegroup/56d8c16c-f317-407f-a0b5-faf920a86bad,Philosophical Aspects Of Biology And Allied Sciences,Philosophical Aspects Of Biology And Allied Sciences 1916
1916,http://history.archives.mbl.edu/concepts/course/0c4a1681-7988-4f3e-afed-0c1d10f88888,http://history.archives.mbl.edu/concepts/coursegroup/dd094cd0-8d6a-4b17-b491-1fbade57f3dc,Physiology,Physiology 1916
1916,http://history.archives.mbl.edu/concepts/course/43570dc5-741f-4a81-9a04-67a3e777ed60,http://history.archives.mbl.edu/concepts/coursegroup/81b7d0fd-46da-42fb-9cbb-b33873eac743,Zoology,Zoology 1916
1917,http://history.archives.mbl.edu/concepts/course/beb9395a-412d-4624-ba1a-37d038d10dca,http://history.archives.mbl.edu/concepts/coursegroup/8c1f04c6-6e3a-46ba-bd02-cc5900fe9b2c,Botany,Botany 1917
1917,http://history.archives.mbl.edu/concepts/course/a1770bc9-6aeb-48d2-a310-9900ccd6a70a,http://history.archives.mbl.edu/concepts/coursegroup/fe479b9e-dcc1-4d89-8dc5-1291e5aa839d,Embryology,Embryology 1917
1917,http://history.archives.mbl.edu/concepts/course/593a8d60-5060-467a-8549-c74fec41968f,http://history.archives.mbl.edu/concepts/coursegroup/56d8c16c-f317-407f-a0b5-faf920a86bad,Philosophical Aspects Of Biology And Allied Sciences,Philosophical Aspects Of Biology And Allied Sciences 1917
1917,http://history.archives.mbl.edu/concepts/course/f7ff3245-c9d4-48ef-9d87-43f532da289c,http://history.archives.mbl.edu/concepts/coursegroup/dd094cd0-8d6a-4b17-b491-1fbade57f3dc,Physiology,Physiology 1917
1917,http://history.archives.mbl.edu/concepts/course/e4068545-6a15-4a00-88f5-a5438ae445fd,http://history.archives.mbl.edu/concepts/coursegroup/81b7d0fd-46da-42fb-9cbb-b33873eac743,Zoology,Zoology 1917
1918,http://history.archives.mbl.edu/concepts/course/ee84b410-b39b-48fb-bc2f-34d5ac2ce18d,http://history.archives.mbl.edu/concepts/coursegroup/8c1f04c6-6e3a-46ba-bd02-cc5900fe9b2c,Botany,Botany 1918
1918,http://history.archives.mbl.edu/concepts/course/a4df4a14-b221-4091-9559-fec7a319ac94,http://history.archives.mbl.edu/concepts/coursegroup/fe479b9e-dcc1-4d89-8dc5-1291e5aa839d,Embryology,Embryology 1918
1918,http://history.archives.mbl.edu/concepts/course/d69cc2fd-8037-433c-9b16-d358c8bdd4d9,http://history.archives.mbl.edu/concepts/coursegroup/56d8c16c-f317-407f-a0b5-faf920a86bad,Philosophical Aspects Of Biology And Allied Sciences,Philosophical Aspects Of Biology And Allied Sciences 1918
1918,http://history.archives.mbl.edu/concepts/course/81d71260-357a-4e07-a9c8-d1dd66f3d1da,http://history.archives.mbl.edu/concepts/coursegroup/dd094cd0-8d6a-4b17-b491-1fbade57f3dc,Physiology,Physiology 1918
1918,http://history.archives.mbl.edu/concepts/course/666ccb69-aa7c-4d91-b4a8-737526220853,http://history.archives.mbl.edu/concepts/coursegroup/81b7d0fd-46da-42fb-9cbb-b33873eac743,Zoology,Zoology 1918
1919,http://history.archives.mbl.edu/concepts/course/9f0e88a3-003a-4ae1-8d39-28926145606d,http://history.archives.mbl.edu/concepts/coursegroup/8c1f04c6-6e3a-46ba-bd02-cc5900fe9b2c,Botany,Botany 1919
1919,http://history.archives.mbl.edu/concepts/course/73ae4c27-3e13-4f7f-bf9b-42bcb5764129,http://history.archives.mbl.edu/concepts/coursegroup/fe479b9e-dcc1-4d89-8dc5-1291e5aa839d,Embryology,Embryology 1919
1919,http://history.archives.mbl.edu/concepts/course/98f72f2a-521f-4a82-b63d-83a1cd16a9e0,http://history.archives.mbl.edu/concepts/coursegroup/56d8c16c-f317-407f-a0b5-faf920a86bad,Philosophical Aspects Of Biology And Allied Sciences,Philosophical Aspects Of Biology And Allied Sciences 1919
1919,http://history.archives.mbl.edu/concepts/course/1bd6cfc3-d60b-4835-b2ed-0ff0d5fde77c,http://history.archives.mbl.edu/concepts/coursegroup/dd094cd0-8d6a-4b17-b491-1fbade57f3dc,Physiology,Physiology 1919
