Course Group,Course Group URI
Botanical Museum Development,http://history.archives.mbl.edu/concepts/coursegroup/1c33d9af-22fa-4392-90fb-2a261f2b2f3e
Research Program In History Of Biology,http://history.archives.mbl.edu/concepts/coursegroup/43b01f0d-da29-410a-b029-e8972015bed9
Optimal Microscopy And Photomicrography In The Biomedical Sciences,http://history.archives.mbl.edu/concepts/coursegroup/c177dbc3-8b5e-489c-ae7a-40310fb9fd44
Microbiology,http://history.archives.mbl.edu/concepts/coursegroup/8f4467a7-4ef4-4462-a138-1d1ac97abb2e
Zebrafish Development And Genetics,http://history.archives.mbl.edu/concepts/coursegroup/9ff77f37-4f48-4415-82e2-f649a1667400
Science Journalism Program,http://history.archives.mbl.edu/concepts/coursegroup/9943eb13-2150-461c-b59b-88cdd4ac539f
Rapid Measurement Of Neurotransmitter Signals In The Central Nervous System Using In Vivo Electrochemistry,http://history.archives.mbl.edu/concepts/coursegroup/feeb7776-408f-47ae-b7c6-ccb117ae3bec
Experimental Invertebrate Zoology,http://history.archives.mbl.edu/concepts/coursegroup/0846bbf3-c8c9-4f95-8c42-7a4c90f19c55
Autoradiography In Electron Microscopy,http://history.archives.mbl.edu/concepts/coursegroup/2e410294-0238-4d29-bca9-8194e2a24819
Microinjection Techniques,http://history.archives.mbl.edu/concepts/coursegroup/06525f01-03ce-4bc2-a18a-da320fdc1181
Rapid Electrochemical Measurements,http://history.archives.mbl.edu/concepts/coursegroup/77da00e0-9d4d-4332-97af-2f956fab4c56
Invertebrate,http://history.archives.mbl.edu/concepts/coursegroup/4d6a03b9-44f1-4a07-a38e-cbebf2600ac6
Scanning Electron Microscopy In The Biological Sciences,http://history.archives.mbl.edu/concepts/coursegroup/b5165641-955c-4260-9628-32d2e9a79674
Experimental Botany,http://history.archives.mbl.edu/concepts/coursegroup/a50079ff-964b-4ced-96f8-875b82ef1576
Medical Informatics,http://history.archives.mbl.edu/concepts/coursegroup/1f3412db-d453-4ad5-bc15-4f109ece0250
Excitable Membrane Physiology And Biophysics Training Program,http://history.archives.mbl.edu/concepts/coursegroup/a4b36667-176f-468b-a9d9-92e3f5efa754
Developmental Biology,http://history.archives.mbl.edu/concepts/coursegroup/59ce91f9-e021-481d-a195-b14146518cc5
"Summer Program In Neuroscience, Ethics, And Survival (Spines)",http://history.archives.mbl.edu/concepts/coursegroup/cfd3945b-dbe3-41b7-b1ff-2e75427e4ce7
Workshop On Plant And Animal Cell Microinjection Techniques,http://history.archives.mbl.edu/concepts/coursegroup/c839bafc-f571-4a88-8a02-a8decce73544
The Ecosystems Center,http://history.archives.mbl.edu/concepts/coursegroup/17723386-4f64-47d7-9cc9-f5ec9bfb9dd7
Cellular Neurobiology And Development Of The Leech,http://history.archives.mbl.edu/concepts/coursegroup/cb8dc251-977e-4a6e-9247-f1fb43edf0e9
Immunohistochemistry And Microscopy,http://history.archives.mbl.edu/concepts/coursegroup/9e1cba18-cc51-492b-b128-c6729d4d9fe5
Frontiers In Reproduction,http://history.archives.mbl.edu/concepts/coursegroup/e12150e0-23d0-4965-a435-c99eadd3db99
Ecology,http://history.archives.mbl.edu/concepts/coursegroup/d31993ac-e828-472b-9763-337e16372bec
Nasa Planetary Biology Internship,http://history.archives.mbl.edu/concepts/coursegroup/24b0bcb7-f572-4fdd-ac43-720bc3e45ff9
"Summer Program In Neuroscience, Ethics And Survival",http://history.archives.mbl.edu/concepts/coursegroup/708e702d-972d-4249-bbf4-43ce47d58bca
Living In The Microbial World,http://history.archives.mbl.edu/concepts/coursegroup/6ebb23e7-d9ea-4e9c-b1bc-c2b3e4170f14
Workshop On Recombinant Dna Methodology,http://history.archives.mbl.edu/concepts/coursegroup/d013da39-9ed5-40c4-8b1f-f1bce32aa9e4
Teaching About Neurobiology Of Brain Dysfunction,http://history.archives.mbl.edu/concepts/coursegroup/16cfc72f-442e-4302-b144-f5d169b17fe9
Comparative Psychology,http://history.archives.mbl.edu/concepts/coursegroup/2b049875-b101-4aaf-b33f-bb744c4caa7d
Mariculture,http://history.archives.mbl.edu/concepts/coursegroup/66b64dbd-21b7-4132-9b3b-9c2ae7af2af5
Microbial Ecology,http://history.archives.mbl.edu/concepts/coursegroup/a8d8b96f-f01d-46da-aedc-9f1c09ff149f
Basic Immunohistochemical Techniques In Tissue Sections And Whole Mounts,http://history.archives.mbl.edu/concepts/coursegroup/f8ab67c0-99c6-4180-ad4a-cbaafe32c9e2
Comparative Light And Electron Microscopy In Clinical Diagnosis,http://history.archives.mbl.edu/concepts/coursegroup/8aef93dc-2bcc-429c-8558-5866bd4b9002
Protozoology,http://history.archives.mbl.edu/concepts/coursegroup/bec637ad-39a7-495a-b025-aa431b2b1950
Embryology,http://history.archives.mbl.edu/concepts/coursegroup/fe479b9e-dcc1-4d89-8dc5-1291e5aa839d
Marine Botany,http://history.archives.mbl.edu/concepts/coursegroup/74619d32-6aa6-4604-aa29-046f8e492169
"Summer Program In Neuroscience, Ethics, And Survival",http://history.archives.mbl.edu/concepts/coursegroup/850ee69a-bd0a-48b9-833e-9ef9824ea21c
Frontiers In Stem Cells And Regeneration,http://history.archives.mbl.edu/concepts/coursegroup/f73d2621-8447-4783-bb63-4e08b9bc7038
Three Integrated Short Courses In Quantitative Image And Signal Analysis For Biologists,http://history.archives.mbl.edu/concepts/coursegroup/9aa590de-f834-4ab8-b8b9-5c6e3fc89c95
Molecular Evolution,http://history.archives.mbl.edu/concepts/coursegroup/01afff44-425f-4828-bf15-780dc76aca5c
Strategies And Techniques For Analyzing Microbial Population Structures,http://history.archives.mbl.edu/concepts/coursegroup/fe855817-6d12-47b4-89e6-dfc6a51431fb
Small Computers In Biomedical Research,http://history.archives.mbl.edu/concepts/coursegroup/d2b2aeb9-6c1f-455b-be3f-8930769d3f5a
Invertebrate Zoology,http://history.archives.mbl.edu/concepts/coursegroup/7e058691-1b9d-4bb5-a57e-fe51c1568957
