Institution,Institution URI
,http://history.archives.mbl.edu/concepts/institution/bb868a31-08a6-4554-aac9-b9be73777e69
St Luc Hospital,http://history.archives.mbl.edu/concepts/institution/ad8cde37-946f-469b-a837-0cfc3852b593
New England Institute For Medical Research,http://history.archives.mbl.edu/concepts/institution/cca211b1-84ed-43ef-a4dc-95507ba7441a
Station Biologique,http://history.archives.mbl.edu/concepts/institution/3cb025f7-4941-40ef-a62a-bd5d6814bc4e
Albany College Of Pharmacy,http://history.archives.mbl.edu/concepts/institution/3b08dcf1-f30a-454d-b6ce-f15b5db0cc3a
New York College Of Medicine And Believue Hospital,http://history.archives.mbl.edu/concepts/institution/213aead3-3f69-4d43-ac93-0ae171a9d5bb
Umdnj Robert Wood Johnson Medical School,http://history.archives.mbl.edu/concepts/institution/60c75ad7-8296-4522-9934-387e7071abe9
Section On Neurophysiology Ophthalmology Branch National Institure Of Neurological Diseases And Blindness,http://history.archives.mbl.edu/concepts/institution/13836ba2-f50e-4aeb-b00f-aca2d3e9e22c
Igc A Instituto Gulbenkian De Ciencia,http://history.archives.mbl.edu/concepts/institution/1461539b-91b4-4c2b-b328-5ece69c64018
College Misericordia,http://history.archives.mbl.edu/concepts/institution/5a968e65-19ab-4320-9c76-ba913444ff9b
Baylor College Of Medicine And Texas Childrenas Hospital,http://history.archives.mbl.edu/concepts/institution/dc64159f-e31d-455e-ba2e-0a83b4f0e837
Ledyard Middle School,http://history.archives.mbl.edu/concepts/institution/ece72d35-8306-4e85-8ffc-2fd6137f77a8
College Of Nj,http://history.archives.mbl.edu/concepts/institution/5e7f085c-24ba-4727-97e9-0914e9962ce0
Center Of Marine Biotechnology,http://history.archives.mbl.edu/concepts/institution/e12ce64a-1c1e-423e-8b66-4bc2c15b0c79
Jester Center,http://history.archives.mbl.edu/concepts/institution/26604e43-2599-4fa8-a71d-e0c7e3f03872
National Institutes Of Technology,http://history.archives.mbl.edu/concepts/institution/5307c616-1bd7-48f8-a803-5e8744f458fa
Ames Laboratories Moffet Field,http://history.archives.mbl.edu/concepts/institution/c8f34795-1bd9-450e-9097-6727db948aa8
Department Of Biology,http://history.archives.mbl.edu/concepts/institution/b198349a-5c4b-4f09-9a79-fb70e12e568c
Rhodes University,http://history.archives.mbl.edu/concepts/institution/aabbd20e-c200-4630-ac8b-2a17644a7fbf
Mass General,http://history.archives.mbl.edu/concepts/institution/ad44c6f1-62fe-4698-a983-88d2c67f3592
Simmons College And Boston University,http://history.archives.mbl.edu/concepts/institution/7cb94803-c5e1-40ae-9e56-97950f572afb
University Of Texas Health Science Center,http://history.archives.mbl.edu/concepts/institution/15e1157e-e46e-4f67-a55b-fbae6284f256
Universitat Osnabruck,http://history.archives.mbl.edu/concepts/institution/f49afaa3-f5c9-4a27-a239-55da792f3b7f
University Of Miami School Of Medicine And University Of Lausanne,http://history.archives.mbl.edu/concepts/institution/086edf3c-8fb2-4c00-89c0-e9f1caa015ed
Agricultural College Of Morioka,http://history.archives.mbl.edu/concepts/institution/f58ccb5d-33e9-418f-b5a0-c42010e3a197
Institute Of Psychiatric Research Indiana University Medical Center,http://history.archives.mbl.edu/concepts/institution/3e714bf0-639f-45e2-95c7-a5d21bb849af
University Of California School Of Biological Sciences,http://history.archives.mbl.edu/concepts/institution/c3c105b6-b019-4e37-b8d0-0dad05624558
Universitat Tubingen,http://history.archives.mbl.edu/concepts/institution/71b64b26-37cb-4dd6-80f3-e9ad179f20ec
Federal Department Of Agriculture,http://history.archives.mbl.edu/concepts/institution/089033d0-1b6b-45e9-a882-2153eb23b4ab
Hyde Park High School,http://history.archives.mbl.edu/concepts/institution/31f02d22-de96-4e9d-b124-174495fe57a9
Agricultural Research Council Unit Of Insect Physiology,http://history.archives.mbl.edu/concepts/institution/a2419848-6c49-48e4-bede-02407ab29932
Molecular Dynamics,http://history.archives.mbl.edu/concepts/institution/836e9baf-8033-401b-9118-0e2b24bd6485
National Marine Fisheries Service And University Of Maryland,http://history.archives.mbl.edu/concepts/institution/c8e8fdff-7c34-40c6-9818-75761e936366
Stonington High School,http://history.archives.mbl.edu/concepts/institution/66cbea65-fcb0-4d23-8fe4-f18b8de73a43
Indiana University,http://history.archives.mbl.edu/concepts/institution/0b1bc735-f167-4dfa-b81c-d4f64f8ecd89
University Of Delaware Morris Library,http://history.archives.mbl.edu/concepts/institution/8b5a3cec-ccbd-42b3-9c05-2bd9a0bf69c7
University Of Massachusetts,http://history.archives.mbl.edu/concepts/institution/bc2e6d66-628e-43d6-96e2-f8ee23646c65
Shawnee Mission High School,http://history.archives.mbl.edu/concepts/institution/635a410f-de69-4df5-b381-3d9d595ab1ac
Suny At Oneonta,http://history.archives.mbl.edu/concepts/institution/a6a8f6ce-1dbd-4ddd-9d3b-1b1f5c2206f6
City College Ny,http://history.archives.mbl.edu/concepts/institution/a3c96c30-654b-4fed-a14f-f7773810fa48
Battelle Pacific Northwest Lab,http://history.archives.mbl.edu/concepts/institution/c044e220-a0b0-4700-84e4-6f9da9740763
Wellcome Trustcancer Research,http://history.archives.mbl.edu/concepts/institution/adf65549-df46-4216-8b29-a91da28a58d2
Massachusetts General Hospital And Harvard Medical School,http://history.archives.mbl.edu/concepts/institution/5ea469d2-e037-44c3-8de8-2217b4a0633e
National Institute Of Physiology,http://history.archives.mbl.edu/concepts/institution/ccce9305-300c-46b7-934a-c45546322aca
Southern Ohio Medical Center,http://history.archives.mbl.edu/concepts/institution/77d5163b-82d6-492f-b772-a8c28b529b3c
Planned Parenthood Of Northern New England,http://history.archives.mbl.edu/concepts/institution/71bb84f2-526b-423c-9016-665146967ae3
University Of California At Los Angeles School Of Medicine,http://history.archives.mbl.edu/concepts/institution/fd7e6fd9-8036-49a8-996f-bfb9e5317e2e
Kirkland College,http://history.archives.mbl.edu/concepts/institution/89779639-0a9f-451c-9c1b-0d0db133f9f9
Woods Hole Ecosystem Group,http://history.archives.mbl.edu/concepts/institution/9e4ac886-afde-4ae7-86ac-e38a903b43a3
Exeter Academy,http://history.archives.mbl.edu/concepts/institution/624256a6-f5c8-4c27-983e-6a06aed32e15
Academyhealth,http://history.archives.mbl.edu/concepts/institution/84363cc6-e875-4bb7-abcf-26df999e2863
Agricultural Chemistry Washington State University,http://history.archives.mbl.edu/concepts/institution/01f04304-12bf-4a37-979a-e23d27b5f497
Gray Freshwater Biological Institute,http://history.archives.mbl.edu/concepts/institution/a4c391cc-d7ff-4c67-9c2c-e09b84e710e0
Operations Evaluation Group,http://history.archives.mbl.edu/concepts/institution/433b0763-2dfc-4ce5-b849-2d86f785c7c0
Clinical Research Institute,http://history.archives.mbl.edu/concepts/institution/3a2d54f1-8d24-4201-81b0-22ac000878e5
Corporate Research Laboratory Union Carbide Corporation,http://history.archives.mbl.edu/concepts/institution/0e6d76db-9c45-4965-b484-eb9948ed254b
Max Planck Institute Of Immunobiology,http://history.archives.mbl.edu/concepts/institution/020c734b-a267-43c0-9f7e-b1848109edb8
Tulane Univeristy,http://history.archives.mbl.edu/concepts/institution/01604e57-9e30-4d80-a6f2-c5f7b24d38ff
Technion University,http://history.archives.mbl.edu/concepts/institution/57efbff7-7b66-4a08-b93b-7b0ebf717441
Baylor University,http://history.archives.mbl.edu/concepts/institution/c61a2d87-215a-4181-ad3a-b44cd069d932
National Council Of Research And Development Israel Institute Of Biological Research,http://history.archives.mbl.edu/concepts/institution/3b533241-63b7-4559-989b-ea8188e94f2c
