Location,Location URI
,http://history.archives.mbl.edu/concepts/location/872939c2-0c82-4f0f-b9d3-668c7a82a3d3
"bogota, columbia",http://history.archives.mbl.edu/concepts/location/5fdbc734-a5be-484e-9677-157ba388c7a7
"poughkeepsie, ny; dorrancetown, luzerne county, pa",http://history.archives.mbl.edu/concepts/location/80646afc-209b-4f45-b755-90df96b389b4
chile,http://history.archives.mbl.edu/concepts/location/084b4340-c1de-4510-ac08-eceff58da9a0
"rome, italy",http://history.archives.mbl.edu/concepts/location/cc8043bd-4f4d-42cd-8ef5-7acfde87102e
"6i5 mcdonough st., brooklyn, ny",http://history.archives.mbl.edu/concepts/location/edaaaf50-6bb0-4cee-ad75-8b59187f10ac
school of medicine,http://history.archives.mbl.edu/concepts/location/58de29bf-c053-4cad-a6eb-462b87fd45df
"oxford, oh",http://history.archives.mbl.edu/concepts/location/6c3d8866-a312-42b7-ac4f-abd68467d5a9
"i8ii e. college street, oberlin, oh",http://history.archives.mbl.edu/concepts/location/3f7c45c4-9f88-4c38-958a-0d4a5e1397fa
cyprus,http://history.archives.mbl.edu/concepts/location/060f96ac-5ac5-43f3-b996-8773649ccff5
"innsbruck, austria",http://history.archives.mbl.edu/concepts/location/5c7384ad-418d-4b99-8d32-272ac76dae2b
professor of biology,http://history.archives.mbl.edu/concepts/location/122f6a15-59c2-4c01-9a04-64d52b9ef3c3
lehman college,http://history.archives.mbl.edu/concepts/location/7ac1e6f8-3b45-4920-969b-7b40e5abffe3
paris,http://history.archives.mbl.edu/concepts/location/3290e595-ce03-4989-8453-9f6e31a69568
west africa,http://history.archives.mbl.edu/concepts/location/cc033ddb-7403-4334-a9f3-eca7c3b3edca
"e. brownfield, me",http://history.archives.mbl.edu/concepts/location/8f51c7aa-0417-4648-8f3b-2f953829d7b0
"meadville, pa",http://history.archives.mbl.edu/concepts/location/708b75ab-29a6-4e21-a353-d38fd35db759
"ii5 appleton place, glen ridge, nj",http://history.archives.mbl.edu/concepts/location/f7ef7c0a-5910-4659-ab66-11f9d5d98a84
"chicago, il",http://history.archives.mbl.edu/concepts/location/a2f09617-15eb-4706-8ecb-3c76af8ae9c6
"manhattan, ks",http://history.archives.mbl.edu/concepts/location/8b8940ab-e0dd-4301-8c7c-e007be539630
"mineralpoint, wi",http://history.archives.mbl.edu/concepts/location/50710935-16ce-4f42-a987-ea1187d351c9
"thornwood, ny",http://history.archives.mbl.edu/concepts/location/030ae077-59a5-4f0a-86a3-7eb85bfd9aa1
"brookline, ma",http://history.archives.mbl.edu/concepts/location/73c59f67-0334-4bbf-9190-56a0547b71f6
"boulder, co 9030ii",http://history.archives.mbl.edu/concepts/location/22fe366f-856e-4f03-ae52-363e2f44374d
"new orleans, la",http://history.archives.mbl.edu/concepts/location/892e67f7-641e-4b21-b226-fd1a5ae60d23
"saco, me",http://history.archives.mbl.edu/concepts/location/0a25a4f3-93c1-4a83-992f-ba5a286c7f64
"oxford, o.",http://history.archives.mbl.edu/concepts/location/02388009-802a-4da6-9d18-2ab5e1645211
"whitestone, ny",http://history.archives.mbl.edu/concepts/location/4c16d2c2-e169-4eda-9c56-b5a777cb87e0
"riverside, connecticut",http://history.archives.mbl.edu/concepts/location/d1e30d40-2c0c-4ce0-bc72-da78f6527888
"bloomfield hills, michigan",http://history.archives.mbl.edu/concepts/location/246ff289-09aa-47bb-b495-2cab60f9fb4f
"manchester, england",http://history.archives.mbl.edu/concepts/location/8d6405a7-f05a-4207-b3a8-05f4e3013b95
jamaica,http://history.archives.mbl.edu/concepts/location/daa89daf-8354-4b7a-99a6-c2bf8d6e8029
"grand rapids, mi",http://history.archives.mbl.edu/concepts/location/b149f9d7-3e53-4027-b830-d9cb5fd70f61
"mangolia, ma",http://history.archives.mbl.edu/concepts/location/bc5039d5-0083-4de7-be9c-8b80b3e007c9
"london, n.w.7",http://history.archives.mbl.edu/concepts/location/906e4399-1700-4fce-a18f-4fa4e8446eed
"53 garden street, cambridge, ma",http://history.archives.mbl.edu/concepts/location/d38df36a-7330-44ee-9353-fcd74ee9758b
"boston, ma 0iiiii5",http://history.archives.mbl.edu/concepts/location/8b5cd4d7-72e3-4d93-b60b-ef7c27a36af7
"le sorbonne, france",http://history.archives.mbl.edu/concepts/location/432fd78d-37f5-43e3-8389-ffe6e9f357e0
san francisco (ucsf),http://history.archives.mbl.edu/concepts/location/038ad6a7-5e15-4964-80d7-a46316aebebd
"glyndon, md",http://history.archives.mbl.edu/concepts/location/4cd6c88b-2ef4-40c3-8d5e-ae5158f7b07b
the cancer institute at miami,http://history.archives.mbl.edu/concepts/location/2ae471cb-2d7a-42b9-80fc-760b194ae7d5
panama,http://history.archives.mbl.edu/concepts/location/12424364-872a-4da1-bb1b-c0f1390d9c33
oak ridge,http://history.archives.mbl.edu/concepts/location/dfac73db-4034-4d84-a75f-ac5afdf72152
"marquette, mi",http://history.archives.mbl.edu/concepts/location/5fbf1c16-65b0-46f1-83b3-f1cddae0b915
"topeka, ks",http://history.archives.mbl.edu/concepts/location/f8d20bc6-59ca-43da-9aff-edb32594ffa4
"rio piedras, puerto rico",http://history.archives.mbl.edu/concepts/location/61649da3-9eba-421f-bc05-1b02175e237a
"yonker, ny",http://history.archives.mbl.edu/concepts/location/6deb3152-3fde-4aca-89aa-6b26b8fbcb35
"williamantic, ct",http://history.archives.mbl.edu/concepts/location/0d11cb36-eed5-490c-9fac-be662dc833c3
"lansdale, pa",http://history.archives.mbl.edu/concepts/location/f2377b61-5b6d-47c3-8169-820845a73c11
china,http://history.archives.mbl.edu/concepts/location/747635c5-0d4b-4ee9-940e-d1e6612a9cdd
berlin.,http://history.archives.mbl.edu/concepts/location/476107ac-b567-40b7-a180-6b4ce27533e7
schnectady,http://history.archives.mbl.edu/concepts/location/6d07d413-d8fe-4f97-ab2b-0b1ca495bc41
mayaguez,http://history.archives.mbl.edu/concepts/location/a90ffe8e-2cae-469d-a299-986ac4598568
